id,instrument,code,name,position,row,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percussion,harp,piano,column
28,Piano,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,G17,17,3,3,2,2,2,1,1,1,1,5,2,2,2,2,3,3,G
29,Piano,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,E16,16,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,E
30,Piano,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,F11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,F
55,Harpe,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,I12,12,5,5,1,1,5,2,1,3,2,5,3,3,3,3,3,0,I
56,Harpe,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,I13,13,1,1,1,4,5,1,1,3,2,5,3,3,3,3,3,0,I
58,Harpe,Rav1,La Valse (RAVEL) - Configuration 1,J9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,J
59,Harpe,Rav2,La Valse (RAVEL) - Configuration 2,I12,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,I
60,Harpe,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,F17,17,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,F
61,Harpe,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,F16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,F
62,Harpe,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,H8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,H
83,Percussion,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,R11,11,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,0,R
84,Percussion,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,Q8,8,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,0,Q
85,Percussion,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,P7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,P
86,Percussion,Rav1,La Valse (RAVEL) - Configuration 1,R11,11,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,0,R
87,Percussion,Rav2,La Valse (RAVEL) - Configuration 2,J6,6,4,4,2,2,3,3,3,2,2,1,2,3,3,3,3,0,J
88,Percussion,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,O6,6,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,1,O
89,Percussion,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,J7,7,1,1,1,1,1,1,1,1,1,5,3,2,2,3,1,1,J
90,Percussion,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,J7,7,3,3,1,1,3,2,2,2,2,4,3,3,3,3,1,1,J
111,Percussion,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,Q10,10,2,2,2,2,4,2,2,2,2,2,3,3,3,4,3,0,Q
112,Percussion,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,O8,8,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0,O
113,Percussion,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,L5,5,3,3,3,3,4,3,3,2,2,3,3,3,3,3,3,0,L
114,Percussion,Rav1,La Valse (RAVEL) - Configuration 1,P8,8,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,P
115,Percussion,Rav2,La Valse (RAVEL) - Configuration 2,L6,6,2,2,3,2,3,3,3,3,3,2,2,3,3,3,3,0,L
116,Percussion,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,K6,6,2,2,2,2,3,2,2,2,2,4,2,2,2,3,3,3,K
117,Percussion,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,K6,6,3,3,2,2,3,3,3,3,2,3,2,2,2,3,1,1,K
118,Percussion,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,K6,6,3,3,2,2,3,3,3,2,2,3,3,2,3,3,2,1,K
139,Percussion,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,Q10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,Q
142,Percussion,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,O7,7,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,0,O
143,Percussion,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,P8,8,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,0,P
144,Percussion,Rav1,La Valse (RAVEL) - Configuration 1,R11,11,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,0,R
