id,instrument,code,name,position,row,column,general,space,visibility,light
28,Piano,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,G17,17,G,1,4,4,4
29,Piano,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,E16,16,E,3,4,4,4
30,Piano,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,F11,11,F,4,4,4,4
55,Harpe,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,I12,12,I,3,5,5,5
56,Harpe,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,I13,13,I,3,1,1,3
58,Harpe,Rav1,La Valse (RAVEL) - Configuration 1,J9,9,J,3,2,3,2
59,Harpe,Rav2,La Valse (RAVEL) - Configuration 2,I12,12,I,3,3,3,3
60,Harpe,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,F17,17,F,3,5,3,3
61,Harpe,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,F16,16,F,3,3,3,3
62,Harpe,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,H8,8,H,3,3,1,2
83,Percussion,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,R11,11,R,3,3,5,3
84,Percussion,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,Q8,8,Q,4,4,4,5
85,Percussion,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,P7,7,P,4,5,5,5
86,Percussion,Rav1,La Valse (RAVEL) - Configuration 1,R11,11,R,2,5,5,5
87,Percussion,Rav2,La Valse (RAVEL) - Configuration 2,J6,6,J,2,4,5,5
88,Percussion,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,O6,6,O,3,2,5,5
89,Percussion,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,J7,7,J,1,4,5,5
90,Percussion,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,J7,7,J,3,4,5,5
111,Percussion,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,Q10,10,Q,1,3,2,3
112,Percussion,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,O8,8,O,3,3,2,3
113,Percussion,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,L5,5,L,3,3,2,3
114,Percussion,Rav1,La Valse (RAVEL) - Configuration 1,P8,8,P,2,1,3,3
115,Percussion,Rav2,La Valse (RAVEL) - Configuration 2,L6,6,L,3,3,3,3
116,Percussion,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,K6,6,K,3,3,2,3
117,Percussion,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,K6,6,K,3,1,3,3
118,Percussion,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,K6,6,K,3,1,1,3
139,Percussion,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,Q10,10,Q,3,5,5,5
142,Percussion,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,O7,7,O,3,3,5,5
143,Percussion,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,P8,8,P,3,4,5,5
144,Percussion,Rav1,La Valse (RAVEL) - Configuration 1,R11,11,R,3,3,5,5
145,Percussion,Rav2,La Valse (RAVEL) - Configuration 2,N7,7,N,3,5,5,5
146,Percussion,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,O7,7,O,3,5,5,5
147,Percussion,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,H8,8,H,3,3,3,3
148,Percussion,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,N6,6,N,3,5,5,5
153,Percussion,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,I13,13,I,3,3,3,3
154,Percussion,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,O12,12,O,3,2,3,3
155,Percussion,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,P13,13,P,3,1,3,2
156,Percussion,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,P13,13,P,1,2,3,3
161,Percussion,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,L8,8,L,3,3,3,3
162,Percussion,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,P9,9,P,1,1,1,3
163,Percussion,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,R10,10,R,2,3,3,3
164,Percussion,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,P8,8,P,3,3,3,3
169,Percussion,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,P9,9,P,1,3,1,3
170,Percussion,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,N9,9,N,3,3,3,3
171,Percussion,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,L5,5,L,3,1,2,3
172,Percussion,Rav1,La Valse (RAVEL) - Configuration 1,Q8,8,Q,3,1,3,3
173,Percussion,Rav2,La Valse (RAVEL) - Configuration 2,N6,6,N,3,3,3,3
174,Percussion,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,J6,6,J,3,3,3,3
175,Percussion,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,J6,6,J,3,3,3,3
176,Percussion,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,J6,6,J,3,3,2,3
177,Percussion,Moz1,Symphonie n°41 (MOZART) - Configuration 1,N12,12,N,4,4,4,4
